A	Part of speech: adjective
VM.XMPDP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: dative<br />Number: plural
VM.XMPDS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: dative<br />Participle Number: singular
VM.XMPGP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: genitive<br />Number: plural
VM.XMPGS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: genitive<br />Participle Number: singular
VM.XMPNP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: nominative<br />Number: plural
VM.XMPNS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: nominative<br />Participle Number: singular
VM.XPI1S	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Person: first<br />Number: singular
VM.XPI3P	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Person: third<br />Number: plural
VM.XPI3S	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Person: third<br />Number: singular
VM.XPN	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive
VM.XPP2S	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Person: second<br />Number: singular
VM.XPPAP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: accusative<br />Number: plural
VM.XPPAS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: accusative<br />Participle Number: singular
VM.XPPDP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: dative<br />Number: plural
VM.XPPDS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: dative<br />Participle Number: singular
VM.XPPGP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: genitive<br />Number: plural
VM.XPPGS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: genitive<br />Participle Number: singular
VM.XPPNP	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: nominative<br />Number: plural
VM.XPPNS	Part of speech: verb, perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: nominative<br />Participle Number: singular
VO.AAD2P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VO.AAD2S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VO.AAD3P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VO.AAD3S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VO.AAN	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active
VO.AAO2S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VO.AAO3S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VO.AAPDS	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Participle Case: dative<br />Participle Number: singular
VO.AAPGS	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Participle Case: genitive<br />Participle Number: singular
VO.AAPNP	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Participle Case: nominative<br />Number: plural
VO.AAPNS	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Participle Case: nominative<br />Participle Number: singular
VO.AAS1P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: plural
VO.AAS1S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
VO.AAS2P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VO.AAS2S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VO.AAS3P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VO.AAS3S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VO.AMD2P	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: plural
VO.AMD2S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: singular
VO.AMN	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: middle
VO.AMS3S	Part of speech: verb, aorist, -ο stem -μι verb<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: singular
VOI.AAI3P	Part of speech: verb, aorist, -ο stem -μι verb, augmented<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VOI.AMI2P	Part of speech: verb, aorist, -ο stem -μι verb, augmented<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: plural
VOI.AMI3P	Part of speech: verb, aorist, -ο stem -μι verb, augmented<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: plural
VOI.AMI3S	Part of speech: verb, aorist, -ο stem -μι verb, augmented<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: singular
V.PAD2P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V.PAD2S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V.PAD3P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V.PAD3S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V.PAI1P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: plural
V.PAI1S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V.PAI2P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V.PAI2S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V.PAI3P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V.PAI3S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V.PAN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle
V.PAO2P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V.PAO3P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V.PAO3S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V.PAPAPF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: feminine
V.PAPAPM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: masculine
V.PAPAPN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: neuter
V.PAPASF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: feminine
V.PAPASM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: masculine
V.PAPASN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: neuter
V.PAPDPF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: feminine
V.PAPDPM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: masculine
V.PAPDPN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: neuter
V.PAPDSF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: feminine
V.PAPDSM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: masculine
V.PAPDSN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: neuter
V.PAPGP	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural
V.PAPGPF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: feminine
V.PAPGPM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: masculine
V.PAPGPN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: neuter
V.PAPGSF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: feminine
V.PAPGSM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: masculine
V.PAPGSN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: neuter
VP.APN	Part of speech: verb, labial perfect middle<br />Tense: aorist<br />Voice: passive
V.PAPNPF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: feminine
V.PAPNPM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: masculine
V.PAPNPN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: neuter
V.PAPNSF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: feminine
V.PAPNSM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: masculine
V.PAPNSN	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: neuter
V.PAPVPM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: vocative<br />Number: plural<br />Participle Gender: masculine
V.PAPVSF	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: vocative<br />Participle Number: singular<br />Participle Gender: feminine
V.PAPVSM	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: vocative<br />Participle Number: singular<br />Participle Gender: masculine
V.PAS1P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: plural
V.PAS1S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V.PAS2P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V.PAS2S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V.PAS3P	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V.PAS3S	Part of speech: verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
VP.IAI3S	Part of speech: verb, labial perfect middle<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
VPI.API3S	Part of speech: verb, labial perfect middle, pluperfect augmented<br />Tense: aorist<br />Voice: passive<br />Person: third<br />Number: singular
VP.IMI1S	Part of speech: verb, labial perfect middle<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
VPI.YMI3S	Part of speech: verb, labial perfect middle, pluperfect augmented<br />Tense: pluperfect<br />Voice: middle<br />Person: third<br />Number: singular
VPI.YMPAS	Part of speech: verb, labial perfect middle, pluperfect augmented<br />Tense: pluperfect<br />Voice: middle<br />Participle Case: accusative<br />Participle Number: singular
VPI.YPI3S	Part of speech: verb, labial perfect middle, pluperfect augmented<br />Tense: pluperfect<br />Voice: passive<br />Person: third<br />Number: singular
V.PMD2P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V.PMD2S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: singular
V.PMD3P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V.PMD3S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V.PMI1P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: plural
V.PMI1S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V.PMI2P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V.PMI2S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: singular
V.PMI3P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V.PMI3S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V.PMN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle
V.PMO1S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V.PMO3P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V.PMO3S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V.PMPAPF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: feminine
V.PMPAPM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: masculine
V.PMPAPN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: neuter
V.PMPASF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: feminine
V.PMPASM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: masculine
V.PMPASN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: neuter
V.PMPDPF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: feminine
V.PMPDPM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: masculine
V.PMPDPN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: neuter
V.PMPDSF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: feminine
V.PMPDSM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: masculine
V.PMPDSN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: neuter
V.PMPGPF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: feminine
V.PMPGPM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: masculine
V.PMPGPN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: neuter
V.PMPGSF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: feminine
V.PMPGSM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: masculine
V.PMPGSN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: neuter
V.PMPNPF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: feminine
V.PMPNPM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: masculine
V.PMPNPN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: neuter
V.PMPNSF	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: feminine
V.PMPNSM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: masculine
V.PMPNSN	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: neuter
V.PMPVPM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: vocative<br />Number: plural<br />Participle Gender: masculine
V.PMPVSM	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: vocative<br />Participle Number: singular<br />Participle Gender: masculine
V.PMS1P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: plural
V.PMS1S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V.PMS2P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V.PMS2S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: singular
V.PMS3P	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V.PMS3S	Part of speech: verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V.PPD2P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: second<br />Number: plural
V.PPD2S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: second<br />Number: singular
V.PPD3P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: plural
V.PPD3S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: singular
V.PPI1P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: first<br />Number: plural
V.PPI1S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: first<br />Number: singular
V.PPI2P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: second<br />Number: plural
V.PPI2S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: second<br />Number: singular
V.PPI3P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: plural
V.PPI3S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: singular
V.PPN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle
V.PPPAPF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: feminine
V.PPPAPM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: masculine
V.PPPAPN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Number: plural<br />Participle Gender: neuter
V.PPPASF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: feminine
V.PPPASM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: masculine
V.PPPASN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular<br />Participle Gender: neuter
V.PPPDPM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: masculine
V.PPPDPN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: dative<br />Number: plural<br />Participle Gender: neuter
V.PPPDSF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: feminine
V.PPPDSM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: masculine
V.PPPDSN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular<br />Participle Gender: neuter
V.PPPGPM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: masculine
V.PPPGPN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Number: plural<br />Participle Gender: neuter
V.PPPGSF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: feminine
V.PPPGSM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: masculine
V.PPPGSN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular<br />Participle Gender: neuter
V.PPPNPF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: feminine
V.PPPNPM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: masculine
V.PPPNPN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Number: plural<br />Participle Gender: neuter
V.PPPNSF	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: feminine
V.PPPNSM	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: masculine
V.PPPNSN	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular<br />Participle Gender: neuter
VP.PPPGS	Part of speech: verb, labial perfect middle<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular
V.PPS1P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: first<br />Number: plural
V.PPS1S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: first<br />Number: singular
V.PPS2P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: second<br />Number: plural
V.PPS3P	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: plural
V.PPS3S	Part of speech: verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: singular
VP.XMI1S	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Person: first<br />Number: singular
VP.XMI3S	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Person: third<br />Number: singular
VP.XMPAP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: accusative<br />Number: plural
VP.XMPAS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: accusative<br />Participle Number: singular
VP.XMPDP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: dative<br />Number: plural
VP.XMPDS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: dative<br />Participle Number: singular
VP.XMPGP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: genitive<br />Number: plural
VP.XMPGS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: genitive<br />Participle Number: singular
VP.XMPNP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: nominative<br />Number: plural
VP.XMPNS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: middle<br />Participle Case: nominative<br />Participle Number: singular
VP.XPI3S	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: passive<br />Person: third<br />Number: singular
VP.XPPAP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: accusative<br />Number: plural
VP.XPPAS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: accusative<br />Participle Number: singular
VP.XPPNP	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: nominative<br />Number: plural
VP.XPPNS	Part of speech: verb, labial perfect middle<br />Tense: perfect<br />Voice: passive<br />Participle Case: nominative<br />Participle Number: singular
VQ.AAD2P	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VQ.APD2P	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: second<br />Number: plural
VQ.APD3P	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: third<br />Number: plural
VQ.APD3S	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: third<br />Number: singular
VQ.API1S	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: first<br />Number: singular
VQ.API2P	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: second<br />Number: plural
VQ.API3P	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: third<br />Number: plural
VQ.API3S	Part of speech: verb, guttural aorist & future passive<br />Tense: aorist<br />Voice: passive<br />Person: third<br />Number: singular
